City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Vestmannaeyjar,IS,63.4427,-20.2734,46.4,87,100,20.2,overcast clouds
304,Ancud,CL,-41.8697,-73.8203,55.99,76,75,5.75,broken clouds
305,Gornopravdinsk,RU,60.05,69.9,41.36,85,100,6.96,light rain
306,Inza,RU,53.8533,46.3586,46.35,83,100,3.96,overcast clouds
307,Athmallik,IN,20.7219,84.5348,79.56,64,58,3.47,broken clouds
308,Menongue,AO,-14.6585,17.691,61.92,54,67,3.49,broken clouds
309,Paamiut,GL,61.994,-49.6678,32.72,77,1,0.78,clear sky
310,Yingcheng,CN,30.95,113.55,60.8,94,100,6.71,light rain
311,Morondava,MG,-20.2833,44.2833,75.09,82,0,6.4,clear sky
312,Tazmalt,DZ,36.3868,4.3989,54.18,89,65,4.12,broken clouds
313,Longyearbyen,SJ,78.2186,15.6401,14.0,67,40,10.36,scattered clouds
314,Chardara,KZ,41.2547,67.9692,54.88,51,70,6.78,broken clouds
315,Isiro,CD,2.7739,27.616,65.66,99,100,2.21,light rain
316,Beringovskiy,RU,63.05,179.3167,26.91,84,99,6.58,overcast clouds
317,Lhokseumawe,ID,5.1801,97.1507,76.1,88,100,7.83,overcast clouds
318,Udachnyy,RU,66.4167,112.4,23.88,86,86,8.3,overcast clouds
319,Eyemouth,GB,55.8713,-2.0901,45.0,67,100,3.0,overcast clouds
320,Shiloh,US,38.5614,-89.8973,59.0,58,75,14.97,broken clouds
321,Rincon,US,32.296,-81.2354,70.0,37,75,8.05,broken clouds
322,Coruripe,BR,-10.1256,-36.1756,78.53,80,43,8.16,scattered clouds
323,Yenagoa,NG,4.9247,6.2642,78.6,90,59,3.09,broken clouds
324,Les Cayes,HT,18.2,-73.75,80.98,69,28,7.83,scattered clouds
325,Xining,CN,36.6167,101.7667,42.35,92,100,5.14,overcast clouds
326,Ouadda,CF,8.0777,22.4007,69.26,90,100,3.89,overcast clouds
327,Okhotsk,RU,59.3833,143.3,18.39,68,2,19.8,clear sky
328,Bafoulabe,ML,13.8065,-10.8321,98.53,11,44,4.18,scattered clouds
329,Klaksvik,FO,62.2266,-6.589,42.8,100,20,5.75,few clouds
