City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Teguldet,RU,2021-04-21 03:51:08,57.3064,88.1667,26.89,80,100,5.21
252,Moron,AR,2021-04-21 03:50:16,-34.6534,-58.6198,68.0,85,0,8.01
253,Troitskoye,RU,2021-04-21 03:51:09,52.9821,84.6757,26.1,65,100,5.39
254,Chililabombwe,ZM,2021-04-21 03:51:10,-12.3648,27.8229,56.14,95,63,4.9
255,Tuy Hoa,VN,2021-04-21 03:51:11,13.0833,109.3,86.34,67,76,6.67
256,Remanso,BR,2021-04-21 03:51:12,-9.6179,-42.0831,76.06,72,94,3.78
257,Gravdal,NO,2021-04-21 03:51:13,68.1214,13.5031,36.19,91,100,37.65
258,Nouadhibou,MR,2021-04-21 03:51:14,20.931,-17.0347,64.4,82,0,17.27
259,Xichang,CN,2021-04-21 03:51:15,27.8964,102.2634,76.87,31,0,2.77
260,Merauke,ID,2021-04-21 03:51:16,-8.4667,140.3333,85.21,66,100,5.95
261,San Lorenzo,PY,2021-04-21 03:51:16,-25.3333,-57.5333,73.4,78,0,4.61
262,Souillac,MU,2021-04-21 03:51:17,-20.5167,57.5167,78.8,83,75,5.75
263,Kandrian,PG,2021-04-21 03:51:18,-6.2167,149.55,85.19,71,87,5.46
264,Lebu,CL,2021-04-21 03:51:19,-37.6167,-73.65,54.43,95,96,8.14
265,Ostrovnoy,RU,2021-04-21 03:51:20,68.0531,39.5131,36.21,73,3,18.1
266,Provideniya,RU,2021-04-21 03:51:21,64.3833,-173.3,32.0,59,0,2.24
267,Saint Simons,US,2021-04-21 03:51:22,31.1352,-81.3901,69.8,83,1,3.44
268,Margate,GB,2021-04-21 03:51:23,51.3813,1.3862,44.01,91,87,4.0
269,Markova,UA,2021-04-21 03:51:24,48.6758,24.4138,37.6,85,48,4.74
270,Ishigaki,JP,2021-04-21 03:51:25,24.3448,124.1572,73.4,94,75,17.27
271,Cherskiy,RU,2021-04-21 03:51:26,68.75,161.3,35.85,80,25,23.71
272,Magadan,RU,2021-04-21 03:51:27,59.5667,150.8,33.87,89,100,18.43
273,Yazoo City,US,2021-04-21 03:47:07,32.8551,-90.4056,60.8,100,1,16.35
274,Constitucion,CL,2021-04-21 03:51:29,-35.3333,-72.4167,57.52,87,74,15.14
275,Northam,GB,2021-04-21 03:51:29,51.0333,-4.2167,46.99,85,100,1.01
276,Kortkeros,RU,2021-04-21 03:51:30,61.8106,51.5806,35.6,60,0,2.24
277,Plougastel-Daoulas,FR,2021-04-21 03:51:31,48.3667,-4.3667,50.0,71,0,3.44
278,Ongandjera,NA,2021-04-21 03:51:31,-17.8833,15.0667,64.94,42,4,9.57
279,Penzance,GB,2021-04-21 03:51:32,50.1186,-5.5371,46.0,81,90,9.22
280,Tilichiki,RU,2021-04-21 03:51:33,60.4667,166.1,31.15,93,72,2.19
281,Santo Amaro,BR,2021-04-21 03:51:34,-12.5467,-38.7119,75.2,88,75,4.61
282,Grand Gaube,MU,2021-04-21 03:51:34,-20.0064,57.6608,79.0,83,100,3.0
283,Awbari,LY,2021-04-21 03:51:35,26.5921,12.7805,69.84,24,83,21.99
284,Husavik,IS,2021-04-21 03:51:36,66.0449,-17.3389,39.2,60,90,6.91
285,Vila Velha,BR,2021-04-21 03:47:14,-20.3297,-40.2925,77.0,94,20,2.3
286,Yuyao,CN,2021-04-21 03:51:38,30.05,121.1494,77.0,53,75,13.42
287,Esmeraldas,BR,2021-04-21 03:48:32,-19.7625,-44.3139,66.2,72,0,8.05
288,Talnakh,RU,2021-04-21 03:51:40,69.4865,88.3972,4.89,85,100,2.39
289,Pampa,US,2021-04-21 03:51:41,35.5362,-100.9599,37.4,38,1,4.61
290,Visnes,NO,2021-04-21 03:51:42,59.3556,5.2242,41.0,87,40,23.02
291,Katsuura,JP,2021-04-21 03:51:43,35.1333,140.3,75.0,56,20,11.5
